Season,Date,Home,Away,Team,By Rotation,MP,S Pts W,S Pts L,S W %,SR Pts W,SR Pts L,SO %,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2024-01-20,STU,Crandall,STU,5,1,3,5,0.375,5,2,0.714,2,3,8,2,0.625,3,1,0,1,5,2.2,2,1,5,0.2,0,0,0,2,5,2,2,0,0,0
2023-2024,2024-01-20,STU,Crandall,STU,6,1,16,5,0.762,5,2,0.714,4,2,21,2.24,0.905,2,0,1,1,4,1.75,4,2,14,0.143,5,0,5,3,13,9,3,0,0,0
2023-2024,2024-01-27,Crandall,STU,Crandall,1,1,5,7,0.417,7,6,0.538,2,4,12,1.67,0.667,5,2,2,2,11,1.91,4,3,11,0.091,0,0,0,4,11,1,1,1,0,0
2023-2024,2024-01-27,Crandall,STU,Crandall,2,1,7,7,0.5,7,11,0.389,2,5,14,1.57,0.643,3,2,7,3,15,1.33,4,1,12,0.25,1,1,2,3,11,3,4,1,0,1
2023-2024,2024-01-27,Crandall,STU,Crandall,3,1,4,7,0.364,7,6,0.538,2,4,11,1.45,0.636,5,5,0,0,10,2.5,4,6,12,-0.167,0,1,1,4,12,3,0,0,0,1
2023-2024,2024-01-27,Crandall,STU,Crandall,4,1,4,7,0.364,5,2,0.714,2,2,11,2.18,0.818,1,1,0,1,3,1.67,2,1,4,0.25,0,0,0,2,4,2,0,0,0,0
2023-2024,2024-01-27,Crandall,STU,Crandall,5,1,2,4,0.333,5,8,0.385,0,1,6,1.5,0.833,8,2,2,0,12,2.5,4,6,20,-0.1,0,0,0,4,20,7,2,1,0,1
2023-2024,2024-01-27,Crandall,STU,Crandall,6,1,0,5,0,5,6,0.455,0,2,5,1.2,0.6,2,2,1,3,8,1.38,2,1,10,0.1,0,0,0,2,10,3,2,2,0,0
2023-2024,2024-01-27,Crandall,STU,STU,1,1,7,6,0.538,8,8,0.5,3,3,13,2,0.769,2,6,1,2,11,1.73,5,6,16,-0.063,1,0,1,5,13,5,1,0,0,0
2023-2024,2024-01-27,Crandall,STU,STU,2,1,6,7,0.462,7,5,0.583,2,2,13,1.92,0.846,1,3,1,3,8,1.25,5,2,7,0.429,0,0,0,5,6,1,0,0,0,0
2023-2024,2024-01-27,Crandall,STU,STU,3,1,11,6,0.647,6,4,0.6,2,3,17,1.88,0.824,2,2,0,2,6,1.67,5,1,12,0.333,1,0,1,5,10,5,0,0,1,0
2023-2024,2024-01-27,Crandall,STU,STU,4,1,7,7,0.5,6,5,0.545,0,2,13,1.38,0.846,3,1,4,1,9,1.67,4,3,16,0.063,0,0,0,4,15,7,1,1,1,1
2023-2024,2024-01-27,Crandall,STU,STU,5,1,1,5,0.167,5,0,1,1,4,6,0.83,0.333,0,1,1,0,2,1.5,2,0,2,1,0,1,1,2,2,0,0,0,0,0
2023-2024,2024-01-27,Crandall,STU,STU,6,1,7,5,0.583,5,0,1,1,1,12,1.5,0.917,2,1,2,0,5,2,6,0,11,0.545,0,1,1,6,11,6,3,1,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,1,1,3,8,0.273,7,13,0.35,0,2,11,1.27,0.818,5,4,10,0,19,1.74,4,4,31,0,0,1,1,4,30,11,6,2,0,1
2023-2024,2024-01-28,Crandall,Holland,Crandall,2,1,3,7,0.3,7,5,0.583,1,2,10,1.4,0.8,3,4,1,0,8,2.25,3,2,11,0.091,1,0,1,3,10,3,1,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,3,1,3,7,0.3,6,3,0.667,0,3,10,1.8,0.7,1,2,1,2,6,1.33,3,0,6,0.5,0,0,0,3,6,3,1,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,4,1,2,6,0.25,6,5,0.545,0,3,8,1.13,0.625,6,1,3,0,10,2.3,3,4,12,-0.083,1,0,1,3,12,1,0,0,0,0
2023-2024,2024-01-28,Crandall,Holland,Crandall,5,1,1,6,0.143,6,7,0.462,1,3,7,1.57,0.571,4,2,3,2,11,1.73,4,4,12,0,0,0,0,4,12,4,1,1,0,1
