Season,Date,Home,Away,TEAM,#,Athlete,MP,SP,Ace,S Err,S Att,S Rtg,S %,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,Kill,A Err,Att,H %,B Solo,B Assist,B Total,Assist,A Att,Digs,Sent,Received,Violations,BHE
2023-2024,2023-12-02,Holland,Crandall,Holland,3,"Unknown , HC",1,3,0,0,0,-,-,3,3,1,1,8,2,0,0,0,-,0,0,0,3,11,9,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,5,"Unknown , HC",1,3,0,0,8,1.38,1,2,4,1,0,7,2.14,3,3,8,0,0,0,0,1,4,2,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,6,"Unknown , HC",1,3,2,1,17,1.59,0.941,4,1,2,1,8,2,6,0,13,0.462,0,0,0,1,4,1,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,7,"Unknown , HC",1,1,0,0,0,-,-,0,0,0,0,0,-,1,0,1,1,0,0,0,0,0,0,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,8,"Unknown , HC",1,2,0,0,0,-,-,1,0,0,0,1,3,0,0,0,-,0,2,2,0,0,0,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,9,"Unknown , HC",1,3,0,1,4,1.75,0.75,0,0,0,0,0,-,6,0,7,0.857,0,2,2,0,0,1,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,10,"Unknown , HC",1,1,0,1,3,1.33,0.667,2,0,1,0,3,2.33,0,0,0,-,0,0,0,0,0,4,0,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,11,"Unknown , HC",1,3,2,3,16,1.81,0.813,0,0,0,0,0,-,4,3,9,0.111,0,0,0,0,0,2,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,12,"Unknown , HC",1,1,1,0,1,4,1,0,0,0,0,0,-,2,0,2,1,0,0,0,0,0,0,1,-,-,0
2023-2024,2023-12-02,Holland,Crandall,Holland,13,"Unknown , HC",1,3,2,0,7,2.86,1,0,0,0,0,0,-,0,0,0,-,0,0,0,1,1,0,0,-,-,2
2023-2024,2024-01-14,UNBSJ,Crandall,CU,16,Payton Sanipass,1,3,0,0,2,1.5,1,0,0,0,0,0,-,0,1,1,-1,0,0,0,0,0,0,0,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,8,Shane Huggard,1,4,1,3,20,1.85,0.85,0,8,0,2,10,1.6,9,6,22,0.136,0,1,1,2,9,7,3,-,-,0
2023-2024,2024-01-14,UNBSJ,Crandall,CU,7,Jack Hillier,1,3,0,0,3,2,1,0,5,3,1,9,1.44,2,3,12,-0.083,0,0,0,0,1,2,1,-,-,0
