Season,Date,TEAM,ID,Oponnent ,By Set,MP,0,S Pts W,S Pts L,S W %,02,SR Pts W,SR Pts L,SO %,03,Ace,S Err,S Att,S Rtg,S %,04,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,05,Kill,A Err,Att,H %,06,B Solo,B Assist,B Total,07,Assist,A Att,08,Digs,09,Sent,Received,010,Violations,BHE
2023-2024,2023-11-11,Crandall,vs.,USTA,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-11,USTA,@,Crandall,1,1,0,10,14,0.417,0,15,5,0.75,0,3,4,24,1.96,0.833,0,7,3,2,2,14,2.07,0,10,5,23,0.217,0,0,0,0,0,9,22,0,8,0,4,1,0,0,0
2023-2024,2023-11-11,USTA,@,Crandall,2,1,0,10,15,0.4,0,15,2,0.882,0,2,5,25,1.68,0.8,0,9,5,1,0,15,2.53,0,15,2,24,0.542,0,0,1,1,0,15,24,0,5,0,1,3,0,0,0
2023-2024,2023-11-11,USTA,@,Crandall,3,1,0,13,11,0.542,0,12,9,0.571,0,5,4,24,1.88,0.833,0,8,6,2,2,18,2.11,0,10,4,21,0.286,0,0,1,1,0,10,21,0,8,0,4,2,0,0,2
2023-2024,2023-11-11,USTA,@,Crandall,4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-11,USTA,@,Crandall,5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-2024,2023-11-12,Crandall,@,STU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,Crandall,@,STU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,Crandall,@,STU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,Crandall,@,STU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,Crandall,@,STU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,vs.,Crandall,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,vs.,Crandall,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,vs.,Crandall,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,vs.,Crandall,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-12,STU,vs.,Crandall,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,2023-11-24,Crandall,@,Holland,1,1,0,3,10,0.231,0,10,15,0.4,0,1,4,13,1.54,0.692,0,11,6,2,2,21,2.24,0,4,7,22,-0.136,0,0,0,0,0,4,22,0,6,0,2,0,0,0,1
2023-2024,2023-11-24,Crandall,@,Holland,2,1,0,13,12,0.52,0,12,11,0.522,0,4,2,25,2,0.92,0,5,5,7,4,21,1.52,0,11,6,26,0.192,0,0,3,3,0,9,24,0,7,0,4,2,0,0,0
2023-2024,2023-11-24,Crandall,@,Holland,3,1,0,5,13,0.278,0,13,12,0.52,0,2,0,18,1.78,1,0,9,8,2,1,20,2.25,0,7,7,29,0,0,0,1,1,0,7,25,0,8,0,3,4,0,0,3
2023-2024,2023-11-24,Crandall,@,Holland,4,1,0,7,16,0.304,0,15,9,0.625,0,1,3,23,1.61,0.87,0,8,7,3,1,19,2.16,0,10,7,38,0.079,0,0,0,0,0,10,35,0,19,0,9,2,0,1,1
